id,gen,ht,wt,imb,age,cirw,cirth,cirn
359,1,158,102,40859,36,104,122,41
360,1,173,62,20716,30,69,98,32
361,1,162,81,30864,53,105,114,38
362,1,158,71,28441,43,84,106,36
363,1,164,89,33090,50,107,117,38
364,1,167,62,22231,57,75,96,31
365,1,162,65,24768,18,80,103,33
366,1,158,63,25236,49,86,102,35
367,1,162,63,24005,38,94,101,37
368,1,170,55,19031,38,69,93,33
369,1,165,67,24610,36,85,105,32
370,0,179,84,26216,42,84,80,41
371,0,186,95,27460,30,93,108,42
372,0,170,81,28028,39,94,106,42
373,0,173,88,29403,36,97,100,41
374,1,153,70,29903,56,95,105,40
375,1,163,59,22206,39,72,95,34
376,1,164,57,21193,23,74,95,35
377,1,164,61,22680,37,86,101,36
378,0,175,102,33306,60,110,120,45
379,1,158,112,44865,53,114,120,38
380,1,168,66,23384,38,74,95,35
381,1,168,75,26573,35,87,105,39
382,1,170,75,25952,34,85,102,34
383,1,163,45,16937,32,65,88,31
384,1,160,75,29297,49,80,100,36
385,1,158,62,24836,36,82,95,33
386,0,179,66,20599,38,78,95,40
387,0,178,91,28721,41,100,117,47
388,1,170,46,15917,38,61,85,32
389,0,192,95,25770,25,97,111,41
390,1,163,58,21830,43,82,96,35
391,0,187,89,25451,40,94,105,41
392,0,182,96,28982,49,102,110,43
393,0,176,92,29700,28,95,100,42
394,0,180,98,30247,25,101,111,44
395,0,189,95,26595,50,107,109,45
396,0,178,102,32193,55,116,116,44
397,1,163,55,20701,35,65,96,33
398,1,0,0,0,34,0,0,0
399,1,160,58,22656,55,72,94,36
400,1,167,70,25100,37,83,104,38
401,1,167,77,27609,44,89,106,36
402,1,166,69,25040,53,81,105,36
403,1,160,105,41016,49,144,124,46
404,1,170,101,34948,48,112,131,39
405,1,165,72,26446,49,80,106,35
406,1,166,60,21774,49,83,93,33
407,1,170,91,31488,44,108,115,40
408,1,158,70,28040,50,83,103,36
409,1,160,65,25391,34,73,104,36
410,1,160,50,19531,23,64,89,32
411,0,186,89,25726,28,94,100,41
412,0,184,64,18904,29,74,88,37
413,1,173,72,24057,29,86,104,36
414,1,165,59,21671,23,69,100,36
415,1,158,50,20029,26,62,87,30
416,1,170,66,22837,28,79,94,34
417,1,160,50,19531,28,69,92,33
418,1,164,61,22680,24,71,96,34
419,0,185,74,21622,27,85,90,41
420,0,182,85,25661,29,92,105,41
421,1,162,56,21338,35,79,94,34
422,1,165,52,19100,39,67,90,31
423,0,172,87,29408,47,99,100,37
424,0,185,75,21914,30,86,102,36
425,0,174,66,21799,31,80,94,39
426,1,155,64,26639,36,79,102,35
427,1,170,59,20415,26,74,104,36
428,0,188,76,21503,23,78,100,40
429,0,180,70,21605,27,82,97,40
430,0,177,67,21386,24,78,84,40
431,0,168,70,24802,31,87,100,39
432,1,176,68,21952,22,73,101,35
433,1,168,51,18070,27,68,86,33
434,0,164,62,23052,61,84,96,41
435,0,180,79,24383,25,81,98,42
436,0,173,58,19379,28,71,84,38
437,1,158,48,19228,39,66,93,32
438,1,160,50,19531,37,68,90,31
439,1,164,70,26026,41,76,104,34
440,1,160,64,25000,46,83,104,37
441,0,180,71,21914,34,87,100,38
442,1,156,50,20546,32,70,92,34
443,1,167,65,23307,40,78,100,33
444,1,165,87,31956,57,102,106,38
445,1,164,71,26398,49,82,104,36
446,1,168,58,20550,27,73,96,35
447,1,158,64,25637,44,81,103,36
448,1,166,71,25766,41,82,109,32
449,1,162,56,21338,46,73,97,37
450,1,167,53,19004,33,67,91,34
451,1,158,59,23634,29,76,100,34
452,1,166,93,33749,43,86,118,39
453,1,162,76,28959,33,92,107,36
454,1,158,64,25637,57,88,106,35
